# r [Mpc] p50 [m/s^2] p16 [m/s^2] p84 [m/s^2]
3.5390e-02 1.5240e-11 9.8535e-12 3.3211e-11
4.8108e-02 1.4124e-11 1.1616e-11 2.3146e-11
6.5396e-02 1.2871e-11 1.1021e-11 1.7090e-11
8.8896e-02 1.0679e-11 9.1144e-12 1.3259e-11
1.2084e-01 8.6016e-12 7.5652e-12 1.0177e-11
1.6427e-01 7.1304e-12 6.3996e-12 8.1249e-12
2.2330e-01 5.7500e-12 5.1995e-12 6.4133e-12
3.0354e-01 4.3201e-12 3.9354e-12 4.7609e-12
4.1262e-01 3.0574e-12 2.7931e-12 3.3592e-12
5.6090e-01 2.0942e-12 1.9101e-12 2.2974e-12
7.6247e-01 1.3954e-12 1.2591e-12 1.5433e-12
1.0365e+00 8.8727e-13 7.8691e-13 9.9376e-13
1.4089e+00 5.4361e-13 4.7481e-13 6.1821e-13
1.9152e+00 3.2944e-13 2.8243e-13 3.8415e-13
2.6035e+00 1.9842e-13 1.6559e-13 2.4103e-13
