# r [Mpc] p50 [m/s^2] p16 [m/s^2] p84 [m/s^2]
3.5390e-02 1.6935e-11 1.1562e-11 3.5642e-11
4.8108e-02 1.6440e-11 1.3986e-11 2.5662e-11
6.5396e-02 1.5090e-11 1.3193e-11 1.9514e-11
8.8896e-02 1.2426e-11 1.0795e-11 1.5236e-11
1.2084e-01 9.8112e-12 8.6715e-12 1.1521e-11
1.6427e-01 7.5314e-12 6.7595e-12 8.5855e-12
2.2330e-01 5.9140e-12 5.3595e-12 6.6054e-12
3.0354e-01 4.6728e-12 4.2629e-12 5.1444e-12
4.1262e-01 3.5961e-12 3.3011e-12 3.9225e-12
5.6090e-01 2.7037e-12 2.4906e-12 2.9365e-12
7.6247e-01 1.9644e-12 1.8099e-12 2.1292e-12
1.0365e+00 1.3641e-12 1.2494e-12 1.4839e-12
1.4089e+00 9.0829e-13 8.1959e-13 1.0011e-12
1.9152e+00 5.8463e-13 5.1449e-13 6.6209e-13
2.6035e+00 3.6568e-13 3.1151e-13 4.3290e-13
