# Galaxy,HQ-sample,$D_{\odot$},$D_{\rm host}$,$\log(L_{\rm V)$ ,$r_{1/2}$,$\epsilon$,$\sigma_{\star}$,$N_{\star}$,$\log(g_{\rm bar})$,$\log(g_{\rm obs})$,Ref.1,2,3
#                      (kpc)         (kpc)       ($L_{\odot}$)       (pc)   (km s$^{-1}$) (m s$^{-2}$)                           (m s$^{-2}$)
#
# Milky Way satellites
NGC 205,1,824,+27,-27,46,8.52,0.04,594,107,0.43,35.00,+5.00,-5.00,725,-9.88,+0.19,-0.19,-9.70,+0.15,-0.15,48,40,49
And I,0,727,+17,-18,68,6.58,0.04,772,85,0.22,10.20,+1.90,-1.90,51,-12.06,+0.15,-0.15,-10.88,+0.17,-0.17,46,50,51
And II,1,630,+15,-15,195,6.85,0.08,1355,142,0.20,9.25,+1.10,-1.10,531,-12.27,+0.16,-0.16,-11.21,+0.11,-0.11,46,50,52
And III,0,723,+24,-18,86,5.89,0.12,427,43,0.52,4.70,+1.80,-1.80,43,-12.23,+0.18,-0.18,-11.30,+0.34,-0.34,46,50,53
And V,1,742,+22,-21,113,5.55,0.08,365,57,0.18,10.50,+1.10,-1.10,85,-12.43,+0.19,-0.19,-10.53,+0.11,-0.11,46,50,51
And VI,1,783,+25,-25,268,6.44,0.08,537,54,0.41,12.40,+1.50,-1.30,43,-11.88,+0.16,-0.16,-10.55,+0.11,-0.10,48,50,54
And VII,1,762,+35,-35,217,6.98,0.12,965,52,0.13,13.00,+1.00,-1.00,136,-11.85,+0.17,-0.17,-10.77,+0.07,-0.07,48,50,51
And IX,1,600,+23,-91,182,4.97,0.44,582,23,0.12,10.90,+2.00,-2.00,32,-13.42,+0.45,-0.45,-10.70,+0.17,-0.16,46,40,51
And X,1,827,+25,-23,92,5.13,0.40,312,41,0.44,3.90,+1.20,-1.20,22,-12.72,+0.43,-0.43,-11.32,+0.27,-0.27,46,55,56
And XI,0,763,+106,-29,102,4.70,0.48,210,9,0.24,7.60,+4.00,-2.80,5,-12.80,+0.49,-0.49,-10.57,+0.46,-0.33,46,40,54
And XII,0,928,+136,-40,181,4.55,0.48,432,72,0.39,4.00,+0.00,-4.00,8,-13.58,+0.51,-0.51,-11.44,+0.07,-0.87,46,40,54
And XIII,0,760,+156,-126,115,4.45,0.48,230,24,0.54,5.80,+2.00,-2.00,12,-13.12,+0.50,-0.50,-10.85,+0.31,-0.32,46,40,51
And XIV,1,793,+179,-23,161,5.37,0.20,434,212,0.31,5.30,+1.00,-1.00,48,-12.76,+0.48,-0.48,-11.20,+0.27,-0.29,46,40,51
And XV,1,626,+35,-79,174,5.69,0.12,294,12,0.24,4.00,+1.40,-1.40,29,-12.11,+0.17,-0.17,-11.28,+0.31,-0.31,46,40,51
And XVI,1,476,+29,-44,319,5.53,0.12,164,9,0.29,5.80,+1.10,-0.90,20,-11.76,+0.17,-0.17,-10.70,+0.17,-0.14,46,40,57
And XVII,1,727,+25,-39,67,5.34,0.16,299,31,0.27,6.50,+3.30,-2.70,16,-12.47,+0.21,-0.21,-10.86,+0.44,-0.36,46,55,57
And XIX,0,821,+148,-32,116,5.52,0.24,1799,52,0.17,4.70,+1.60,-1.40,26,-13.84,+0.26,-0.26,-11.92,+0.30,-0.27,46,58,54
And XX,0,741,+52,-42,128,4.39,0.32,127,36,0.30,7.10,+3.90,-2.50,4,-12.67,+0.45,-0.39,-10.42,+0.50,-0.32,46,58,54
And XXI,0,827,+25,-23,135,5.85,0.24,1004,123,0.20,4.50,+1.20,-1.00,32,-13.01,+0.28,-0.28,-11.71,+0.24,-0.20,46,59,54
And XXII,0,920,+139,-32,275,4.66,0.32,223,60,0.56,2.80,+1.90,-1.40,10,-12.89,+0.41,-0.41,-11.47,+0.60,-0.45,46,59,54
And XXIII,1,748,+21,-31,127,6.00,0.20,1034,97,0.40,7.10,+1.00,-1.00,42,-12.88,+0.24,-0.24,-11.32,+0.13,-0.13,46,60,54
And XXIV,1,898,+42,-28,169,5.32,0.20,633,52,0.25,7.30,+0.00,-7.30,12,-13.14,+0.24,-0.24,-11.09,+0.04,-0.87,46,60,54
And XXV,0,736,+69,-23,90,5.75,0.20,742,70,0.25,3.00,+1.20,-1.10,26,-12.85,+0.24,-0.24,-11.93,+0.35,-0.32,46,60,54
And XXVI,0,754,+164,-218,103,4.77,0.20,253,30,0.25,8.60,+2.80,-2.20,6,-12.90,+0.25,-0.25,-10.55,+0.31,-0.25,46,60,54
And XXVII,0,1214,+474,-42,482,5.45,0.20,679,253,0.40,14.80,+4.30,-3.10,8,-13.07,+0.40,-0.40,-10.50,+0.30,-0.30,46,60,54
And XXVIII,1,811,+48,-48,384,5.39,0.16,285,12,0.43,4.90,+1.60,-1.60,18,-12.37,+0.20,-0.20,-11.09,+0.29,-0.29,61,61,62
And XXIX,1,829,+42,-42,198,5.33,0.12,377,30,0.29,5.70,+1.20,-1.20,24,-12.68,+0.18,-0.18,-11.08,+0.19,-0.19,61,61,62
And XXX,0,681,+78,-32,145,5.20,0.00,306,45,0.38,11.80,+7.70,-4.70,8,-12.63,+0.17,-0.17,-10.35,+0.57,-0.36,46,63,54
And XXXI,1,756,+28,-44,262,6.61,0.28,1231,132,0.43,10.30,+0.90,-0.90,126,-12.43,+0.31,-0.32,-11.08,+0.09,-0.09,64,64,65
And XXXII,0,772,+56,-61,140,6.83,0.28,1376,340,0.50,8.40,+0.60,-0.60,212,-12.31,+0.37,-0.36,-11.30,+0.13,-0.12,64,64,65
Cetus,1,779,+43,-43,688,6.44,0.08,791,75,0.33,8.30,+1.00,-1.00,11,-12.22,+0.16,-0.16,-11.07,+0.11,-0.11,39,50,66
Perseus I,1,785,+65,-65,351,6.04,0.28,391,143,0.43,4.20,+3.60,-4.20,12,-12.00,+0.43,-0.45,-11.36,+0.76,-0.88,67,67,65
Pisces I,0,769,+24,-24,268,5.98,0.04,560,53,0.20,7.90,+5.30,-2.90,4,-12.37,+0.14,-0.14,-10.97,+0.58,-0.32,48,40,68
