# r [Mpc] p50 [m/s^2] p16 [m/s^2] p84 [m/s^2]
3.5390e-02 8.9678e-12 6.1374e-12 1.9384e-11
4.8108e-02 8.7469e-12 7.3406e-12 1.3834e-11
6.5396e-02 8.0130e-12 6.7410e-12 1.0456e-11
8.8896e-02 6.2018e-12 5.1260e-12 7.8323e-12
1.2084e-01 4.3587e-12 3.6570e-12 5.3527e-12
1.6427e-01 2.9690e-12 2.5314e-12 3.5749e-12
2.2330e-01 2.0745e-12 1.7913e-12 2.4488e-12
3.0354e-01 1.5605e-12 1.3583e-12 1.8130e-12
4.1262e-01 1.2783e-12 1.1054e-12 1.4809e-12
5.6090e-01 1.0607e-12 9.1520e-13 1.2117e-12
7.6247e-01 7.8897e-13 6.7724e-13 9.0410e-13
1.0365e+00 5.2832e-13 4.5092e-13 6.0996e-13
1.4089e+00 3.3855e-13 2.8545e-13 3.9559e-13
1.9152e+00 2.1428e-13 1.7641e-13 2.5873e-13
2.6035e+00 1.3393e-13 1.0657e-13 1.7144e-13
